topic	case	argued	decided	opinion
affirmative_action	480 U.S. 149	NA	NA	NA
affirmative_action	Johnson v. Transportation Agency	Argued: November 12, 1986	Decided: March 25, 1987	Opinion, Brennan
affirmative_action	488 U.S. 469	NA	NA	NA
affirmative_action	Metro Broadcasting, Inc. v. Federal Communications Commission	Argued: March 28, 1990	Decided: June 27, 1990	Opinion, Brennan
affirmative_action	Adarand Constructors, Inc. v. Pena	Argued: January 17, 1995	Decided: 	Opinion, O'Connor
aliens	Truax v. Raich	Argued: October 15, 1915	Decided: November 1, 1915	Opinion, Hughes
aliens	United States v. Pink	Argued: December 15, 1941	Decided: February 2, 1942	Opinion, Douglas
aliens	403 U.S. 365	NA	NA	NA
aliens	Hampton v. Mow Sun Wong	Argued: January 13, 1975	Decided: June 1, 1976	Opinion, Stevens
aliens	Ambach v. Norwick	Argued: January 10, 1979	Decided: April 17, 1979	Opinion, Powell
aliens	Fullilove v. Klutznick	Argued: November 27, 1979	Decided: July 2, 1980	Opinion, Burger
aliens	Cabell v. Chavez-Salido	Argued: November 3, 1981	Decided: January 12, 1982	Opinion, White
aliens	Plyler v. Doe	Argued: December 1, 1981	Decided: June 15, 1982  [*]	Opinion, Brennan
aliens	INS v. Chadha	Argued: February 22, 1982	Decided: June 23, 1983  [*]	Opinion, Burger
armed_services	Welsh v. United States	Argued: January 20, 1970	Decided: June 15, 1970	Opinion, Black
armed_services	415 U.S. 361	NA	NA	NA
armed_services	418 U.S. 208	NA	NA	NA
armed_services	419 U.S. 256	NA	NA	NA
armed_services	Rostker v. Goldberg	Argued: March 24, 1981 -- Decided June 25, 1981	Decided: 	Opinion, Rehnquist
attainder	328 U.S. 303	NA	NA	NA
attainder	339 U.S. 382	NA	NA	NA
attainder	Barenblatt v. United States	Argued: November 18, 1958	Decided: June 8, 1959	Opinion, Harlan
attainder	Communist Party of the United States v. Subversive Activities Control Bd. No. 12	Argued: October 11-12, 1960	Decided: 	Opinion, Frankfurter
attainder	Aptheker v. Secretary of State	Argued: April 21, 1964	Decided: June 22, 1964	Opinion, Goldberg
attainder	United States v. Brown	Argued: March 29, 1965	Decided: June 7, 1965	Opinion, Warren
attainder	433 U.S. 425	NA	NA	NA
attorneys	Ex Parte Garland	Argued: 	Decided: 	Opinion, Field
attorneys	([level Case Citation:]|[group citemenu:])",RH"]In re Primus	Argued: January 16, 1978	Decided: May 30, 1978	Opinion, Powell
attorneys	438 U.S. 478	NA	NA	NA
attorneys	Supreme Court of New Hampshire v. Piper	Argued: October 31, 1984	Decided: March 4, 1985	Opinion, Powell
attorneys	Nix v. Whiteside	Argued: November 5, 1985	Decided: February 26, 1986	Opinion, Burger
attorneys	Phillips v. Washington Legal Foundation	Argued: January 13, 1998	Decided: June 15, 1998	Opinion, Rehnquist
bankruptcy	458 U.S. 50	NA	NA	NA
bill-of-rights	Barron v. Mayor & City Council of Baltimore	Argued: 	Decided: 	Opinion, Marshall
contraception	Buck v. Bell	Argued: April 22, 1927	Decided: May 2, 1927	Opinion, Holmes
contraception	Griswold v. Connecticut	Argued: March 29-30, 1965	Decided: June 7, 1965	Opinion, Douglas
contraception	Carey v. Population Services International	Argued: January 10, 1977	Decided: June 9, 1977	Opinion, Brennan
contraception	Bolger v. Youngs Drugs Prods. Corp.	Argued: January 12, 1983	Decided: June 24, 1983	Opinion, Marshall
borders	Foster & Elam v. Neilson	Argued: 	Decided: 	Opinion, Marshall
capital_punishment	Palko v. Connecticut	Argued: November 12, 1937	Decided: December 6, 1937	Opinion, Cardozo
capital_punishment	Louisiana ex rel. Francis v. Resweber	Argued: November 18, 1946	Decided: January 13, 1947	Opinion, Reed
capital_punishment	United States v. Jackson	Argued: December 7, 1967	Decided: April 8, 1968	Opinion, Stewart
capital_punishment	391 U.S. 510	NA	NA	NA
capital_punishment	391 U.S. 543	NA	NA	NA
capital_punishment	Furman v. Georgia	Argued: January 17, 1972	Decided: June 29, 1972  [*]	NA
capital_punishment	419 U.S. 256	NA	NA	NA
capital_punishment	Gregg v. Georgia	Argued: March 31, 1976	Decided: July 2, 1976	Opinion, Stewart, et.al
capital_punishment	Proffitt v. Florida	Argued: March 31, 1976	Decided: July 2, 1976	Opinion, Stewart, et.al
capital_punishment	428 U.S. 262	NA	NA	NA
capital_punishment	Woodson v. North Carolina	Argued: March 31, 1976	Decided: July 2, 1976	Opinion, Stewart, et.al
capital_punishment	Coker v. Georgia	Argued: March 28, 1977	Decided: June 29, 1977	Opinion, White
capital_punishment	Lockett v. Ohio	Argued: January 17, 1978	Decided: July 3, 1978	Opinion, Burger
capital_punishment	Bell v. Ohio	Argued: January 17, 1978	Decided: July 3, 1978	Opinion, Burger
capital_punishment	455 U.S. 104	NA	NA	NA
capital_punishment	Enmund v. Florida	Argued: March 23, 1982	Decided: July 2, 1982	Opinion, White
capital_punishment	Pulley v. Harris	Argued: November 7, 1983	Decided: January 23, 1984	Opinion, White
capital_punishment	Lockhart v. McCree	Argued: January 13, 1986	Decided: May 5, 1986	Opinion, Rehnquist
capital_punishment	Ford v. Wainwright	Argued: April 22, 1986	Decided: June 26, 1986	Opinion, Marshall
capital_punishment	McCleskey v. Kemp	Argued: October 15, 1986	Decided: April 22, 1987	Opinion, Powell
capital_punishment	482 U.S. 496	NA	NA	NA
capital_punishment	Thompson v. Oklahoma	Argued: November 9, 1987	Decided: June 29, 1988	Opinion, Stevens
capital_punishment	South Carolina v. Gathers	Argued: March 28, 1989	Decided: June 12, 1989	Opinion, Brennan
capital_punishment	Penry v. Lynaugh	Argued: January 11, 1989	Decided: June 26, 1989	Opinion, O'Connor
capital_punishment	Stanford v. Kentucky	Argued: March 27, 1989	Decided: June 26, 1989 [*]	Opinion, Scalia
capital_punishment	Dawson v. Delaware	Argued: Nov. 12, 1991	Decided: March 9, 1992	Opinion, Rehnquist
capital_punishment	Gomez v. United States District Court for the Northern District of California	Argued: 	Decided: April 21, 1992	NA
capital_punishment	NA	NA	NA	NA
censorship	Near v. Minnesota	Argued: January 30, 1931	Decided: June 1, 1931	Opinion, Hughes
censorship	422 U.S. 205	NA	NA	NA
censorship	NA	NA	NA	NA
children	Hammer v. Dagenhart	Argued: April 15, 16, 1918	Decided: June 3, 1918	Opinion, Day
children	Bailey v. Drexel Furniture Company	Argued: March 7, 8, 1922	Decided: May 15, 1922	Opinion, Taft
children	Meyer v. State of Nebraska	Argued: February 23, 1923	Decided: June 4, 1923	Opinion, Mcreynolds
children	Pierce v. Society of Sisters	Argued: March 16, 17, 1925	Decided: June 1, 1925	Opinion, Mcreynolds
children	Minersville School District v. Board of Education	Argued: April 25, 1940	Decided: June 3, 1940	Opinion, Frankfurter
children	West Virginia State Board of Education v. Barnette	Argued: March 11, 1943	Decided: June 14, 1943	Opinion, Jackson
children	Prince v. Massachusetts	Argued: December 14, 1943	Decided: January 31, 1944	Opinion, Rutledge
children	Everson v. Board of Education of the Township of Ewing	Argued: November 20, 1946	Decided: February 10, 1947	Opinion, Black
children	In re Gault	Argued: December 6, 1966	Decided: May 15, 1967	Opinion, Fortas
children	Tinker v. Des Moines Independent Community School Dist.	Argued: November 12, 1968	Decided: February 24, 1969	Opinion, Fortas
children	430 U.S. 651	NA	NA	NA
children	Santosky v. Kramer	Argued: November 10, 1981	Decided: March 24, 1982	Opinion, Blackmun
children	Palmore v. Sidoti	Argued: February 22, 1984	Decided: April 25, 1984	Opinion, Burger
children	484 U.S. 260	NA	NA	NA
children	DeShaney v. Winnebago County Department of Social Services	Argued: November 2, 1988	Decided: February 22, 1989	Opinion, Rehnquist
children	491 U.S. 576	NA	NA	NA
children	Osborne v. Ohio	Argued: Dec. 5, 1989	Decided: April 18, 1990	Opinion, White
children	Maryland v. Craig	Argued: April 18, 1990	Decided: 	Opinion, O'Connor
children	514 U.S. 549	NA	NA	NA
children	Troxel v. Granville	Argued: January 12, 2000	Decided: June 5, 2000	Opinion, O'Connor
children	NA	NA	NA	NA
children	NA	NA	NA	NA
choice_of_law	Swift v. Tyson	Argued: 	Decided: 	Opinion, Story
choice_of_law	Erie Railroad Co. v. Tompkins	Argued: January 31, 1938	Decided: April 25, 1938	Opinion, Brandeis
choice_of_law	([level Case Citation:]|[group citemenu:])",RH"]Ex Parte Quirin	Argued: July 29-30, 1942	Decided: July 31, 1942	Opinion, Stone
choice_of_law	Smith v. Allwright	Argued: November 10, 12, 1943	Decided: April 3, 1944	Opinion, Reed
choice_of_law	Evans v. Newton	Argued: November 9-10, 1965	Decided: January 17, 1966	Opinion, Douglas
choice_of_law	Arizona v. Fulminante	Argued: Oct. 10, 1990	Decided: March 26, 1991	Opinion, White
citizenship	Talbot v. Janson	Argued: 	Decided: 	Opinion, Paterson
citizenship	Ableman v. Booth	Argued: 	Decided: 	Opinion, Taney
citizenship	Minor v. Happersett	Argued: February 9, 1875	Decided: March 29, 1875	Opinion, Waite
citizenship	United States v. Wong Kim Ark	Argued: March 5, 8, 1897	Decided: March 28, 1898	Opinion, Gray
citizenship	Twining v. State	Argued: March 19, 20, 1908	Decided: November 9, 1908	Opinion, Moody
citizenship	Hague v. Committee for Industrial Organization	Argued: February 27, 28, 1939	Decided: June 5, 1939	Opinion, Roberts
citizenship	Perez v. Brownell	Argued: May 1, 1957	Decided: March 31, 1958  [*]	Opinion, Frankfurter
citizenship	Trop v. Dulles	Argued: May 2, 1957	Decided: March 31, 1958	Opinion, Warren
citizenship	Schneider v. Rusk	Argued: April 2, 1964	Decided: May 18, 1964	Opinion, Douglas
citizenship	Afroyim v. Rusk	Argued: February 20, 1967	Decided: May 29, 1967	Opinion, Black
citizenship	403 U.S. 365	NA	NA	NA
citizenship	Hampton v. Mow Sun Wong	Argued: January 13, 1975	Decided: June 1, 1976	Opinion, Stevens
citizenship	Ambach v. Norwick	Argued: January 10, 1979	Decided: April 17, 1979	Opinion, Powell
citizenship	Building Trades & Construction Trades Council of Camden County and Vicinity v. Mayor and Council of the City of Camden	Argued: November 28, 1983	Decided: February 21, 1984	Opinion, Rehnquist
citizenship	NA	NA	NA	NA
commander_in_chief	([level Case Citation:]|[group citemenu:])",RH"]Ex Parte Quirin	Argued: July 29-30, 1942	Decided: July 31, 1942	Opinion, Stone
commander_in_chief	Korematsu v. United States	Argued: October 11, 12, 1944	Decided: December 18, 1944	Opinion, Black
commander_in_chief	Woods v. Cloyd W. Miller Co.	Argued: February 6, 1948	Decided: February 16, 1948	Opinion, Douglas
commander_in_chief	United States v. Quarles	Argued: February 8-9, 1955	Decided: November 7, 1955	Opinion, Black
commander_in_chief	Reid v. Covert	Argued: May 3, 1956	Decided: June 11, 1956	Opinion, Black
commerce_clause	Gibbons v. Ogden	Argued: 	Decided: 	Opinion, Marshall
commerce_clause	Willson v. Black Bird Creek Marsh Company	Argued: 	Decided: 	Opinion, Marshall
commerce_clause	Cooley v. Board of Wardens	Argued: 	Decided: 	Opinion, Curtis
commerce_clause	Slaughterhouse Cases	Argued: 	Decided: 	Opinion, Miller
commerce_clause	United States v. E. C. Knight Company	Argued: October 4, 1894	Decided: January 1, 1895	Opinion, Fuller
commerce_clause	In re Debs	Argued: March 5, 26, 1895	Decided: May 7, 1895	Opinion, Brewer
commerce_clause	Northern Securities Co. v. United States	Argued: December 14, 15, 1903	Decided: March 14, 1904	Opinion, Harlan
commerce_clause	Swift and Company v. United States	Argued: January 6, 7, 1905	Decided: January 30, 1905	Opinion, Holmes
commerce_clause	Adair v. United States	Argued: October 29, 30, 1907	Decided: January 27, 1908	Opinion, Harlan
commerce_clause	Loewe v. Lawlor	Argued: December 4, 5, 1907	Decided: February 3, 1908	Opinion, Fuller
commerce_clause	Standard Oil Co. of New Jersey v. United States	Argued: March 14, 15, 16, 1910	Decided: May 15, 1911	Opinion, White
commerce_clause	Houston East and West Texas Railway Company v. United States	Argued: October 28, 29, 1913	Decided: June 8, 1914	Opinion, Hughes
commerce_clause	Wilson v. New	Argued: January 8, 9, 10, 1917	Decided: March 19, 1917	Opinion, White
commerce_clause	Hammer v. Dagenhart	Argued: April 15, 16, 1918	Decided: June 3, 1918	Opinion, Day
commerce_clause	Adkins v. Children's Hospital	Argued: March 14, 1923	Decided: April 9, 1923	Opinion, Sutherland
commerce_clause	294 U.S. 511	NA	NA	NA
commerce_clause	A. L. A. Schechter Poultry Corp. v. United States	Argued: May 2, 3, 1935	Decided: May 27, 1935  [*]	Opinion, Hughes
commerce_clause	Carter v. Carter Coal Co.	Argued: March 11, 12, 1936	Decided: May 18, 1936	Opinion, Sutherland
commerce_clause	National Labor Relations Board v. Jones & Laughlin Steel Corp.	Argued: February 10, 11, 1937	Decided: April 12, 1937  [*]	Opinion, Hughes
commerce_clause	South Carolina State Highway Department v. Barnwell Brothers, Inc.	Argued: January 4, 1938	Decided: February 14, 1938	Opinion, Stone
commerce_clause	United States v. Carolene Products Co.	Argued: April 6, 1938	Decided: April 25, 1938	Opinion, Stone
commerce_clause	Mulford v. Smith	Argued: March 8, 1939	Decided: April 17, 1939	Opinion, Roberts
commerce_clause	United States v. Darby	Argued: December 19, 20, 1940	Decided: February 3, 1941	Opinion, Stone
commerce_clause	Wickard v. Filburn	Argued: May 4, 1942	Decided: November 9, 1942	Opinion, Jackson
commerce_clause	Southern Pacific Co. v. Arizona	Argued: March 26, 27, 1945	Decided: June 18, 1945	Opinion, Stone
commerce_clause	339 U.S. 382	NA	NA	NA
commerce_clause	Dean Milk Co. v. City of Madison	Argued: December 7, 1950	Decided: January 15, 1951	Opinion, Clark
commerce_clause	Bibb v. Navajo Freight Lines, Inc.	Argued: March 30-31, 1959	Decided: May 25, 1959	Opinion, Douglas
commerce_clause	Huron Portland Cement Co. v. City of Detroit	Argued: February 29, 1960	Decided: April 25, 1960	Opinion, Stewart
commerce_clause	Heart of Atlanta Motel, Inc. v. United States	Argued: October 5, 1964	Decided: December 14, 1964	Opinion, Clark
commerce_clause	Katzenbach v. McClung	Argued: October 5, 1964	Decided: December 14, 1964	Opinion, Clark
commerce_clause	United States v. Brown	Argued: March 29, 1965	Decided: June 7, 1965	Opinion, Warren
commerce_clause	426 U.S. 833	NA	NA	NA
commerce_clause	431 U.S. 1	NA	NA	NA
commerce_clause	Hunt v. Washington State Apple Advertising Commission	Argued: February 22, 1977	Decided: June 20, 1977	Opinion, Burger
commerce_clause	City of Philadelphia v. New Jersey	Argued: March 27, 1978	Decided: June 23, 1978	Opinion, Stewart
commerce_clause	Fullilove v. Klutznick	Argued: November 27, 1979	Decided: July 2, 1980	Opinion, Burger
commerce_clause	Minnesota v. Clover Leaf Creamery Co.	Argued: November 3, 1980	Decided: January 21, 1981	Opinion, Brennan
commerce_clause	Kassel v. Consolidated Freightways Corporation of Delaware	Argued: November 4, 1980	Decided: March 24, 1981	Opinion, Powell
commerce_clause	Building Trades & Construction Trades Council of Camden County and Vicinity v. Mayor and Council of the City of Camden	Argued: November 28, 1983	Decided: February 21, 1984	Opinion, Rehnquist
commerce_clause	Garcia v. San Antonio Transit Authority	Argued: March 19, 1984	Decided: February 19, 1985  [*]	Opinion, Blackmun
commerce_clause	504 U.S. 298	NA	NA	NA
commerce_clause	C & A Carbone, Inc. v. Town of Clarkstown	Argued: December 7, 1993	Decided: 	Opinion, Kennedy
commerce_clause	514 U.S. 549	NA	NA	NA
commerce_clause	528 U.S. 141	NA	NA	NA
commerce_clause	United States v. Morrison	Argued: January 11, 2000	Decided: May 15, 2000	Opinion, Rehnquist
commercial_speech	Grosjean v. American Press Co., Inc.	Argued: January 14, 1936	Decided: February 10, 1936.	Opinion, Sutherland
commercial_speech	Roth v. United States	Argued: April 22, 1957	Decided: June 24, 1957  [*]	Opinion, Brennan
commercial_speech	New York Times Co. v. Sullivan	Argued: January 6, 1964	Decided: March 9, 1964	Opinion, Brennan
commercial_speech	Bates v. State Bar of Arizona	Argued: January 18, 1977	Decided: June 27, 1977	Opinion, Blackmun
commercial_speech	Central Hudson Gas & Elec. Corp. v. Public Service Comm'n	Argued: March 17, 1980	Decided: June 20, 1980	Opinion, Powell
commercial_speech	Bolger v. Youngs Drugs Prods. Corp.	Argued: January 12, 1983	Decided: June 24, 1983	Opinion, Marshall
confessions	Chambers v. Florida	Argued: January 4, 1940	Decided: February 12, 1940	Opinion, Black
confessions	Mallory v. United States	Argued: April 1, 1957	Decided: June 24, 1957	Opinion, Frankfurter
confessions	Massiah v. United States	Argued: March 3, 1964	Decided: May 18, 1964	Opinion, Stewart
conflict_of_laws	Erie Railroad Co. v. Tompkins	Argued: January 31, 1938	Decided: April 25, 1938	Opinion, Brandeis
conflict_of_laws	United States v. Pink	Argued: December 15, 1941	Decided: February 2, 1942	Opinion, Douglas
congress	Ex parte McCardle	Argued: 	Decided: 	Opinion, Chase
congress	United States v. Klein	Argued: 	Decided: 	Opinion, Chase
congress	Kilbourn v. Thompson	Argued: 	Decided: 	Opinion, Miller
congress	Coyle v. Smith	Argued: April 15, 16, 1911	Decided: May 29, 1911	Opinion, Lurton
congress	Bailey v. Drexel Furniture Company	Argued: March 7, 8, 1922	Decided: May 15, 1922	Opinion, Taft
congress	([level Case Citation:]|[group citemenu:])",RH"]The Pocket Veto Case	Argued: March 11, 1929	Decided: May 27, 1929	Opinion, Sanford
congress	A. L. A. Schechter Poultry Corp. v. United States	Argued: May 2, 3, 1935	Decided: May 27, 1935  [*]	Opinion, Hughes
congress	Humphrey's Executor v. United States	Argued: 1, 1935	Decided: May 27, 1935	Opinion, Sutherland
congress	Ashwander v. Tennessee Valley Authority	Argued: December 19, 20, 1935	Decided: February 17, 1936	Opinion, Hughes
congress	United States v. Belmont	Argued: March 4, 1937	Decided: May 3, 1937	Opinion, Sutherland
congress	Helvering v. Davis	Argued: May 5, 1937	Decided: May 24, 1937	Opinion, Cardozo
congress	Mulford v. Smith	Argued: March 8, 1939	Decided: April 17, 1939	Opinion, Roberts
congress	United States v. Darby	Argued: December 19, 20, 1940	Decided: February 3, 1941	Opinion, Stone
congress	Colegrove v. Green	Argued: March 7, 8, 1946	Decided: June 10, 1946	Opinion, Frankfurter
congress	Watkins v. United States	Argued: March 7, 1957	Decided: June 17, 1957	Opinion, Warren
congress	Barenblatt v. United States	Argued: November 18, 1958	Decided: June 8, 1959	Opinion, Harlan
congress	Glidden Co. v. Zdanok	Argued: February 21, 26, 1962	Decided: June 25, 1962  [*]	Opinion, Harlan
congress	Bond v. Floyd	Argued: November 10, 1966	Decided: December 5, 1966	Opinion, Warren
congress	Powell v. McCormack	Argued: April 21, 1969	Decided: June 16, 1969	Opinion, Warren
congress	United States v. Brewster	Argued: October 18, 1971	Decided: June 29, 1972	Opinion, Burger
congress	408 U.S. 606	NA	NA	NA
congress	Doe v. McMillan	Argued: December 13, 1972	Decided: May 29, 1973	Opinion, White
congress	418 U.S. 208	NA	NA	NA
congress	Train v. City of New York	Argued: November 12, 1974	Decided: February 18, 1975	Opinion, White
congress	Buckley v. Valeo	Argued: November 10, 1975	Decided: January 30, 1976  [*]	NA
congress	City of Philadelphia v. New Jersey	Argued: March 27, 1978	Decided: June 23, 1978	Opinion, Stewart
congress	443 U.S. 111	NA	NA	NA
congress	United States. Railroad Retirement Board v. Fritz	Argued: October 6, 1980	Decided: December 9, 1980	Opinion, Rehnquist
congress	Bowsher v. Synar	Argued: April 23, 1986	Decided: July 7, 1986  [*]	Opinion, Burger
congress	521 U.S. 898	NA	NA	NA
congress	Clinton v. City of New York	Argued: April 27, 1998	Decided: June 25, 1998	Opinion, Stevens
congress	Department of Commerce v. United States House	Argued: November 30, 1998	Decided: January 25, 1999 [*]	Opinion, O'Connor
contract_clause	Fletcher v. Peck	Argued: 	Decided: 	Opinion, Marshall
contract_clause	Trustees of Dartmouth College v. Woodward	Argued: 	Decided: 	Opinion, Marshall
contract_clause	Gibbons v. Ogden	Argued: 	Decided: 	Opinion, Marshall
contract_clause	Proprietors of Charles River Bridge v. Proprietors of Warren Bridge	Argued: 	Decided: 	Opinion, Taney
contract_clause	169 U.S. 366	NA	NA	NA
contract_clause	Lochner v. New York	Argued: February 23, 24, 1905	Decided: April 17, 1905	Opinion, Peckham
contract_clause	Home Building & Loan Assn. v. Blaisdell	Argued: November 8, 9, 1933	Decided: January 8, 1934	Opinion, Hughes
contract_clause	438 U.S. 234	NA	NA	NA
courts	Patton v. United States	Argued: February 25, 1930	Decided: April 14, 1930	Opinion, Sutherland
criminal	Cohens v. Virginia	Argued: 	Decided: 	Opinion, Marshall
criminal	Ableman v. Booth	Argued: 	Decided: 	Opinion, Taney
criminal	Kentucky v. Dennison	Argued: 	Decided: 	Opinion, Taney
criminal	Ex parte Milligan	Argued: 	Decided: 	Opinion, Davis
criminal	Munn v. Illinois	Argued: 	Decided: 	Opinion, Waite
criminal	Strauder v. West Virginia	Argued: 	Decided: 	Opinion, Strong
criminal	Ex parte Siebold	Argued: 	Decided: 	Opinion, Bradley
criminal	Hurtado v. California	Argued: January 22d, 23d 1884.	Decided: March 3d, 1884	Opinion, Matthews
criminal	([level Case Citation:]|[group citemenu:])",RH"]In re Neagle	Argued: March 4, 5, 1890	Decided: April 14, 1890	Opinion, Miller
criminal	In re Debs	Argued: March 5, 26, 1895	Decided: May 7, 1895	Opinion, Brewer
criminal	176 U.S. 581	NA	NA	NA
criminal	Northern Securities Co. v. United States	Argued: December 14, 15, 1903	Decided: March 14, 1904	Opinion, Harlan
criminal	Adair v. United States	Argued: October 29, 30, 1907	Decided: January 27, 1908	Opinion, Harlan
criminal	Twining v. State	Argued: March 19, 20, 1908	Decided: November 9, 1908	Opinion, Moody
criminal	Truax v. Raich	Argued: October 15, 1915	Decided: November 1, 1915	Opinion, Hughes
criminal	Abrams v. United States	Argued: October 21, 22, 1919	Decided: November 10, 1919	Opinion, Clarke
criminal	Meyer v. State of Nebraska	Argued: February 23, 1923	Decided: June 4, 1923	Opinion, Mcreynolds
criminal	([level Case Citation:]|[group citemenu:])",RH"]Ex Parte Grossman	Argued: December 1, 1924	Decided: March 2, 1925	Opinion, Taft
criminal	Gitlow v. People	Argued: April 12, 1923	Decided: June 8, 1925	Opinion, Sanford
criminal	Patton v. United States	Argued: February 25, 1930	Decided: April 14, 1930	Opinion, Sutherland
criminal	Powell v. Alabama	Argued: October 10, 1932	Decided: November 7, 1932	Opinion, Sutherland
criminal	Norris v. Alabama	Argued: February 15, 18, 1935	Decided: April 1, 1935	Opinion, Hughes
criminal	De Jonge v. Oregon	Argued: December 9, 1936	Decided: January 4, 1937	Opinion, Hughes
criminal	Palko v. Connecticut	Argued: November 12, 1937	Decided: December 6, 1937	Opinion, Cardozo
criminal	United States v. Carolene Products Co.	Argued: April 6, 1938	Decided: April 25, 1938	Opinion, Stone
criminal	Johnson v. Zerbst	Argued: April 4, 1938	Decided: May 23, 1938	Opinion, Black
criminal	United States v. Miller	Argued: March 30, 1939	Decided: May 15, 1939	Opinion, Mcreynolds
criminal	Chambers v. Florida	Argued: January 4, 1940	Decided: February 12, 1940	Opinion, Black
criminal	Thornhill v. Alabama	Argued: February 29, 1940	Decided: April 22, 1940	Opinion, Murphy
criminal	Cantwell v. Connecticut	Argued: March 29, 1940	Decided: May 20, 1940	Opinion, Roberts
criminal	United States v. Darby	Argued: December 19, 20, 1940	Decided: February 3, 1941	Opinion, Stone
criminal	Chaplinsky v. New Hampshire	Argued: February 5, 1942	Decided: March 9, 1942	Opinion, Murphy
criminal	Skinner v. Oklahoma ex rel. Williamson	Argued: May 6, 1942	Decided: June 1, 1942	Opinion, Douglas
criminal	([level Case Citation:]|[group citemenu:])",RH"]Ex Parte Quirin	Argued: July 29-30, 1942	Decided: July 31, 1942	Opinion, Stone
criminal	Pollock v. Williams	Argued: February 10, 1944	Decided: April 10, 1944	Opinion, Jackson
criminal	Korematsu v. United States	Argued: October 11, 12, 1944	Decided: December 18, 1944	Opinion, Black
criminal	Marsh v. Alabama	Argued: December 6, 1945	Decided: January 7, 1946	Opinion, Black
criminal	Morgan v. Virginia	Argued: March 27, 1946	Decided: June 3, 1946	Opinion, Reed
criminal	Louisiana ex rel. Francis v. Resweber	Argued: November 18, 1946	Decided: January 13, 1947	Opinion, Reed
criminal	Adamson v. California	Argued: January 15-16, 1947	Decided: June 23, 1947	Opinion, Reed
criminal	Dennis v. United States	Argued: December 4, 1950	Decided: June 4, 1951	Opinion, Vinson
criminal	United States v. Quarles	Argued: February 8-9, 1955	Decided: November 7, 1955	Opinion, Black
criminal	Ullmann v. United States	Argued: December 6, 1955	Decided: March 26, 1956	Opinion, Frankfurter
criminal	Pennsylvania v. Nelson	Argued: November 15-16, 1955	Decided: April 2, 1956	Opinion, Warren
criminal	Reid v. Covert	Argued: May 3, 1956	Decided: June 11, 1956	Opinion, Black
criminal	Watkins v. United States	Argued: March 7, 1957	Decided: June 17, 1957	Opinion, Warren
criminal	Yates v. United States	Argued: October 8-9, 1956	Decided: June 17, 1957  [*]	Opinion, Harlan
criminal	Mallory v. United States	Argued: April 1, 1957	Decided: June 24, 1957	Opinion, Frankfurter
criminal	Roth v. United States	Argued: April 22, 1957	Decided: June 24, 1957  [*]	Opinion, Brennan
criminal	Bartkus v. Illinois	Argued: November 19, 1957	Decided: March 30, 1959	Opinion, Frankfurter
criminal	Barenblatt v. United States	Argued: November 18, 1958	Decided: June 8, 1959	Opinion, Harlan
criminal	Huron Portland Cement Co. v. City of Detroit	Argued: February 29, 1960	Decided: April 25, 1960	Opinion, Stewart
criminal	Scales v. United States	Argued: April 29, 1959	Decided: June 5, 1961	Opinion, Harlan
